YTD Total Jan-Nov 2012,ISSN,ID,TITLE
6510,0920-5861,1091,Catalysis Today
6494,1097-4628,3450,Journal of Applied Polymer Science
6440,0376-7388,4016,Journal of Membrane Science
6432,1064-8011,372,Journal of Strength & Conditioning Research
6431,1359-4311,543,Applied Thermal Engineering (formerly known as Heat Recovery Systems and CHP)
6375,0023-6438,4592,LWT - Food Science and Technology
6340,0267-7261,6324,Soil Dynamics and Earthquake Engineering (formerly known as International Journal of Soil Dynamics and Earthquake Engineering)
6300,0307-904X,521,Applied Mathematical Modelling
6283,1521-4095,155,Advanced Materials
6281,0008-6215,1064,Carbohydrate Research
6253,0160-7383,445,Annals of Tourism Research
6239,1350-4487,5877,Radiation Measurements (formerly known as Nuclear Tracks and Radiation Measurements)
6233,1089-7623,6032,Review of Scientific Instruments (AIP)
6168,0165-0114,2448,Fuzzy Sets and Systems
6153,0091-6749,3417,Journal of Allergy and Clinical Immunology (formerly known as Journal of Allergy)
6124,0045-7825,1455,Computer Methods in Applied Mechanics and Engineering
6113,0099-2399,18802,Journal of Endodontics
6100,0305-0548,1476,Computers & Operations Research (incorporating Location Science)
6069,1749-6632,10553,Annals of the New York Academy of Sciences
5986,0921-8009,1860,Ecological Economics
5855,0021-9290,3503,Journal of Biomechanics
5811,0742-051X,6521,Teaching and Teacher Education
5799,0009-3092,1171,Chemistry and Technology of Fuels and Oils
5783,0266-3538,1411,Composites Science and Technology (formerly known as Fibre Science and Technology)
5768,1530-6992,5056,Nano Letters
5761,0009-2614,1155,Chemical Physics Letters
5725,0195-9131,4850,Medicine & Science in Sports & Exercise (formerly Medicine & Science in Sports)
5647,0924-4247,6200,Sensors and Actuators A: Physical (formerly part of Sensors and Actuators)
5644,0741-5214,4462,Journal of Vascular Surgery
5633,0927-0256,1436,Computational Materials Science
5624,0021-9150,701,Atherosclerosis (formerly Journal of Atherosclerosis Research)
5570,0740-0020,2393,Food Microbiology
5551,1877-0428,19986,Procedia - Social and Behavioral Sciences
5526,0378-8741,3752,Journal of Ethnopharmacology
5486,0921-5093,4770,Materials Science and Engineering A (formerly part of Materials Science and Engineering)
5482,0020-7683,3215,International Journal of Solids and Structures
5449,0278-6915,2388,Food and Chemical Toxicology (formerly known as Food and Cosmetics Toxicology)
5400,1618-2642,364,Analytical and Bioanalytical Chemistry (formerly Fresenius' Journal of Analytical Chemistry)
5391,0925-8388,3418,Journal of Alloys and Compounds (formerly known as Journal of the Less Common Metals)
5381,0167-9473,1440,Computational Statistics & Data Analysis
5378,0257-8972,6468,Surface and Coatings Technology (formerly known as Surface Technology)
5346,1359-0294,1640,Current Opinion in Colloid & Interface Science
5343,0018-926X,10062,IEEE Transactions on Antennas and Propagation
5340,1521-3765,1166,Chemistry - A European Journal
5309,1520-6890,1158,Chemical Reviews
5308,0377-0427,3609,Journal of Computational and Applied Mathematics
5293,0731-7085,4154,Journal of Pharmaceutical and Biomedical Analysis
5280,0926-860X,502,Applied Catalysis A: General (formerly part of Applied Catalysis)
5263,0924-0136,3986,Journal of Materials Processing Technology (formerly known as Journal of Mechanical Working Technology)
5242,0304-8853,3965,Journal of Magnetism and Magnetic Materials
5209,0014-5793,2297,FEBS Letters
5205,1053-8119,5127,NeuroImage
5203,0305-4403,3463,Journal of Archaeological Science
5188,0022-2836,4036,Journal of Molecular Biology
5169,1536-1276,10136,IEEE Transactions on Wireless Communications
5102,0008-8846,1119,Cement and Concrete Research (incorporating Advanced Cement Based Materials)
5086,0160-4120,2037,Environment International
5083,1097-0339,1758,Diagnostic Cytopathology
5081,0017-9310,3089,International Journal of Heat and Mass Transfer
5079,0891-4222,5967,Research in Developmental Disabilities (incorporating Analysis and Intervention in Developmental Disabilities and Applied Research in Mental Retardation)
5074,0891-5849,2425,Free Radical Biology and Medicine (incorporating Advances in Free Radical Biology & Medicine and Journal of Free Radicals in Biology & Medicine)
5027,1042-0150,5876,Radiation Effects & Defects in Solids (incorporating Plasma Devices and Operations)
5021,0223-5234,2165,European Journal of Medicinal Chemistry
5015,0090-3493,1583,Critical Care Medicine
4983,0045-7949,1478,Computers & Structures
4960,0304-405X,3783,Journal of Financial Economics
4951,0924-2244,6691,Trends in Food Science & Technology
4948,0309-1740,4811,Meat Science
4946,0168-3659,3638,Journal of Controlled Release
4944,1570-0232,3556,Journal of Chromatography B (formerly known as Journal of Chromatography B: Biomedical Sciences and Applications)
4873,0140-9883,2006,Energy Economics (incorporating Journal of Energy Finance & Development)
4850,0165-0327,3401,Journal of Affective Disorders
4844,0021-9517,3533,Journal of Catalysis
4823,0925-4005,6201,Sensors and Actuators B: Chemical (formerly part of Sensors and Actuators)
4734,0165-1765,1893,Economics Letters
4732,0304-4238,6168,Scientia Horticulturae
4723,0001-8732,170,Advances in Physics
4714,0006-8993,923,"Brain Research (incorporating Molecular Brain Research, Developmental Brain Research, Cognitive Brain Research and Brain Research Protocols)"
4704,0031-9201,5575,Physics of The Earth and Planetary Interiors
4697,0263-7863,3172,International Journal of Project Management
4619,0169-2046,4542,Landscape and Urban Planning (incorporating Urban Ecology) (formerly known as Landscape Planning)
4590,0020-1693,2906,Inorganica Chimica Acta (incorporating Inorganica Chimica Acta Reviews)
4548,0163-6804,10014,IEEE Communications Magazine
4529,0268-005X,2392,Food Hydrocolloids
4526,0144-8617,1063,Carbohydrate Polymers
4522,1566-1199,5360,Organic Electronics
4520,1041-1135,10049,IEEE Photonics Technology Letters
4495,0022-3476,4144,"Journal of Pediatrics, The"
4491,1361-6528,5058,Nanotechnology
4482,1750-3841,19258,Journal of Food Science
4458,0277-5387,5664,Polyhedron (incorporating Inorganic and Nuclear Chemistry Letters and Journal of Inorganic and Nuclear Chemistry)
4446,0109-5641,1718,Dental Materials
4446,0926-6690,2839,Industrial Crops and Products
4438,0169-409X,150,Advanced Drug Delivery Reviews
4421,0019-8501,2846,Industrial Marketing Management
4401,0034-4257,5950,Remote Sensing of Environment
4398,0031-3203,5440,Pattern Recognition
4388,1520-5045,2836,Industrial & Engineering Chemistry Research
4387,1567-1739,1625,Current Applied Physics
4385,0363-8111,5823,Public Relations Review
4353,0305-1978,798,Biochemical Systematics and Ecology
4351,1470-160X,1863,Ecological Indicators
4351,1096-9845,1849,Earthquake Engineering & Structural Dynamics
4304,0360-3016,3185,International Journal of Radiation Oncology*Biology*Physics
4282,0305-0483,5316,Omega
4279,0272-7714,2088,"Estuarine, Coastal and Shelf Science (formerly known as Estuarine and Coastal Marine Science)"
4260,0304-3835,1057,Cancer Letters
4216,0167-577X,4766,Materials Letters
4199,1520-5002,1173,Chemistry of Materials
4189,0006-3207,833,Biological Conservation
4186,1389-1286,1457,Computer Networks (formerly known as Computer Networks and ISDN Systems)
4176,0003-2697,365,Analytical Biochemistry
4167,0921-4526,5539,Physica B: Condensed Matter (formerly part of Physica B+C)
4167,1097-0010,4424,Journal of the Science of Food and Agriculture
4159,0098-1354,1467,Computers & Chemical Engineering
4158,0378-1127,2404,Forest Ecology and Management
4150,0958-6946,2962,International Dairy Journal
4148,1361-6641,6187,Semiconductor Science and Technology
4139,1460-2059,831,Bioinformatics
4117,0167-9236,1707,Decision Support Systems
4116,0378-4371,5538,Physica A: Statistical Mechanics and its Applications (formerly part of Physica)
4104,0956-5663,872,Biosensors and Bioelectronics (formerly known as Biosensors)
4092,0885-8993,10118,IEEE Transactions on Power Electronics
4080,0002-9343,308,"American Journal of Medicine, The"
4066,0921-3449,5989,"Resources, Conservation and Recycling (continued from Conservation & Recycling and Resources and Conservation)"
4044,0309-0566,2162,European Journal of Marketing
4026,0959-8049,2129,European Journal of Cancer (formerly known as European Journal of Cancer and Clinical Oncology)
4017,0048-7333,5984,Research Policy
4008,0003-9993,593,Archives of Physical Medicine and Rehabilitation
4002,0002-9505,316,American Journal of Physics (AAPT)
3985,1364-8152,2059,Environmental Modelling & Software (formerly known as Environmental Software)
3972,0165-9936,6648,TrAC Trends in Analytical Chemistry
3958,1520-4995,799,Biochemistry
3950,0022-3093,4087,Journal of Non-Crystalline Solids
3933,1361-6560,5568,Physics in Medicine and Biology
3922,1478-9302,11661,Political Studies Review
3917,0141-1594,5514,Phase Transitions
3913,0010-938X,1557,Corrosion Science
3911,0304-3800,1865,Ecological Modelling
3899,0098-3004,1472,Computers & Geosciences
3899,0013-7944,2017,Engineering Fracture Mechanics
3898,1520-5215,4167,"Journal of Physical Chemistry A, The"
3891,0022-2461,3987,Journal of Materials Science (Incorporating Journal of Materials Science: Letters and Interface Science)
3887,0749-6036,6460,Superlattices and Microstructures
3881,0883-9026,3520,Journal of Business Venturing
3880,0018-9286,10064,IEEE Transactions on Automatic Control
3868,1469-7610,3551,Journal of Child Psychology and Psychiatry
3842,0360-8352,1474,Computers & Industrial Engineering
3826,0306-4522,5148,Neuroscience
3811,0140-3664,1446,Computer Communications
3810,1522-9645,10924,European Heart Journal
3803,0278-4319,3093,International Journal of Hospitality Management
3799,0304-3940,5151,Neuroscience Letters
3798,1359-5113,5721,Process Biochemistry
3785,0040-6031,6605,Thermochimica Acta
3766,1365-2648,3397,Journal of Advanced Nursing
3736,0079-6700,5747,Progress in Polymer Science
3735,1097-4660,3546,Journal of Chemical Technology & Biotechnology
3713,0921-4488,6261,Small Ruminant Research
3711,1361-648X,4176,Journal of Physics: Condensed Matter (formed by a merger of Journal of Physics C: Solid State Physics and Journal of Physics F: Metal Physics)
3709,0167-8809,217,"Agriculture, Ecosystems & Environment (incorporating Agriculture and Environment and Agro-Ecosystems)"
3702,1616-3028,153,Advanced Functional Materials (formerly Advanced Materials for Optics and Electronics)
3698,0278-2391,4110,Journal of Oral and Maxillofacial Surgery
3684,1387-1811,4902,Microporous and Mesoporous Materials (incorporating Microporous Materials and Zeolites)
3675,1361-6463,4174,Journal of Physics D: Applied Physics (Formerly British Journal of Applied Physics)
3664,0885-8950,10119,IEEE Transactions on Power Systems
3655,0090-8258,2591,Gynecologic Oncology
3651,1536-1225,10010,IEEE Antennas and Wireless Propagation Letters
3632,0167-6369,2060,Environmental Monitoring and Assessment
3631,0022-460X,4324,Journal of Sound and Vibration
3629,0925-5214,5685,Postharvest Biology and Technology
3624,0190-9622,9239,Journal of the American Academy of Dermatology
3620,0261-3069,4762,Materials & Design (formerly known as International Journal of Materials in Engineering Applications)
3619,1367-5931,1638,Current Opinion in Chemical Biology
3604,0013-7952,2018,Engineering Geology (incorporating Mining Science and Technology)
3593,0950-0693,3203,International Journal of Science Education
3586,0018-9448,10100,IEEE Transactions on Information Theory
3565,1568-4946,538,Applied Soft Computing
3562,0263-8223,1407,Composite Structures
3559,0010-8545,1545,Coordination Chemistry Reviews
3544,0164-1212,4367,Journal of Systems and Software
3532,8756-3282,904,Bone (incorporating Bone and Mineral) (formerly known as Metabolic Bone Disease and Related Research)
3528,0362-2436,6376,Spine
3519,0002-9378,309,American Journal of Obstetrics and Gynecology
3491,0032-1052,5627,Plastic and Reconstructive Surgery
3482,1359-6454,105,Acta Materialia (formerly Acta Metallurgica et Materialia) (incorporating Nanostructured Materials)
3481,0006-3223,839,Biological Psychiatry
3478,0006-2952,797,Biochemical Pharmacology
3465,0304-4076,3682,Journal of Econometrics
3461,0165-7836,2355,Fisheries Research
3461,0018-9464,10104,IEEE Transactions on Magnetics
3451,1529-0131,631,Arthritis & Rheumatism
3450,1386-1425,6369,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy (formerly known as Spectrochimica Acta Part A: Molecular Spectroscopy)
3449,0001-4575,8,Accident Analysis & Prevention
3443,0022-0248,3652,Journal of Crystal Growth
3441,0018-9545,10133,IEEE Transactions on Vehicular Technology
3439,1631-0748,1415,Comptes Rendus Chimie (formerly known as Comptes Rendus de l'Academie des Sciences Series IIC Chemistry)
3439,0378-3820,2435,Fuel Processing Technology
3433,1474-4422,4536,"Lancet Neurology, The"
3425,0175-7598,526,Applied Microbiology and Biotechnology
3402,0030-4018,5343,Optics Communications
3401,0300-5712,3662,Journal of Dentistry
3400,0141-3910,5668,Polymer Degradation and Stability (incorporating Polymer Photochemistry)
3377,0264-410X,6757,Vaccine
3376,0263-6352,3868,Journal of Hypertension
3374,0272-7358,1297,Clinical Psychology Review
3369,0378-1119,2463,Gene
3354,0920-9964,6143,Schizophrenia Research
3345,0370-2693,5571,Physics Letters B (formerly part of Physics Letters)
3344,0375-9601,5570,Physics Letters A (formerly part of Physics Letters)
3331,0003-4975,444,"Annals of Thoracic Surgery, The"
3321,0734-9750,878,Biotechnology Advances
3304,0002-8703,274,American Heart Journal
3268,1600-0501,1286,Clinical Oral Implants Research
3265,0162-3257,3478,Journal of Autism and Developmental Disorders
3247,0022-510X,4414,Journal of the Neurological Sciences
3239,1359-8368,1410,Composites Part B: Engineering (formerly Composites Engineering)
3234,0195-9255,2053,Environmental Impact Assessment Review
3231,0376-9429,3075,International Journal of Fracture
3223,0009-8981,1244,Clinica Chimica Acta
3219,0378-7206,2865,Information & Management
3217,0031-0182,5407,"Palaeogeography, Palaeoclimatology, Palaeoecology"
3215,0025-3227,4738,Marine Geology
3212,0275-1062,1203,Chinese Astronomy and Astrophysics (formerly known as Chinese Astronomy)
3211,0014-3057,2227,European Polymer Journal
3207,0168-1656,3509,Journal of Biotechnology
3201,0018-8158,2762,Hydrobiologia (Incorporating International Journal of Salt Lake Research and Journal of Aquatic Ecosystem Stress and Recovery)
3193,0022-2860,4047,Journal of Molecular Structure
3192,0014-2999,2184,European Journal of Pharmacology (incorporating European Journal of Pharmacology: Molecular Pharmacology)
3178,1439-6319,2127,European Journal of Applied Physiology (formerly European Journal of Applied Physiology and Occupational Physiology)
3173,0378-3774,215,Agricultural Water Management
3167,0161-6420,5336,Ophthalmology
3145,0720-048X,2199,European Journal of Radiology
3140,1099-0690,2175,European Journal of Organic Chemistry
3102,0020-0255,2877,Information Sciences (incorporating Information Sciences - Applications)
3096,2166-2754,4458,Journal of Vacuum Science & Technology B (AVS) (formerly Journal of Vacuum Science & Technology)
3096,0264-9993,1881,Economic Modelling
3088,0195-6663,492,Appetite
3074,1365-2133,942,British Journal of Dermatology
3067,0924-8579,2998,International Journal of Antimicrobial Agents
3066,1040-6182,5864,Quaternary International
3059,1097-0215,3012,International Journal of Cancer
3056,0162-0134,3888,Journal of Inorganic Biochemistry (formerly known as Bioinorganic Chemistry)
3056,0010-7514,1526,Contemporary Physics
3054,0090-4295,6748,Urology
3049,0733-8724,10144,IEEE/OSA Journal of Lightwave Technology
3048,0925-7535,6100,Safety Science (formerly known as Journal of Occupational Accidents)
3045,0167-9317,4897,Microelectronic Engineering
3041,1460-2431,3766,Journal of Experimental Botany
3035,0168-1699,1481,Computers and Electronics in Agriculture
3033,0379-0738,2402,Forensic Science International (formerly known as Forensic Science)
3028,0378-7796,1948,Electric Power Systems Research
3026,0925-8574,1861,Ecological Engineering
3023,0168-8278,3844,Journal of Hepatology
3019,0145-2134,1184,Child Abuse & Neglect
3017,1296-2074,3654,Journal of Cultural Heritage
3015,1359-835X,1409,Composites Part A: Applied Science and Manufacturing (incorporating Composites Manufacturing and Composites)
3015,0278-0046,10095,IEEE Transactions on Industrial Electronics
3012,0169-555X,2509,Geomorphology
3010,0016-7037,2487,Geochimica et Cosmochimica Acta
3007,1097-0142,1049,Cancer
3003,0020-1383,2896,Injury
3001,0304-4017,6773,Veterinary Parasitology
2998,0958-1669,1635,Current Opinion in Biotechnology
2998,0147-6513,1904,Ecotoxicology and Environmental Safety
2998,0166-4972,6548,Technovation
2994,0304-3959,5403,Pain
2992,0895-7177,4778,Mathematical and Computer Modelling (formerly known as Mathematical Modelling)
2989,0039-6028,6470,Surface Science (incorporating Surface Science Letters)
2980,0090-6778,10073,IEEE Transactions on Communications
2973,0958-9465,1118,Cement and Concrete Composites (formerly known as International Journal of Cement Composites and Lightweight Concrete)
2973,0022-3999,4230,Journal of Psychosomatic Research
2964,0021-9614,3547,"Journal of Chemical Thermodynamics, The"
2958,0020-7489,3148,International Journal of Nursing Studies
2949,1099-0518,4192,Journal of Polymer Science Part A: Polymer Chemistry
2945,0169-8095,705,Atmospheric Research
2945,0168-8510,2628,Health Policy (formerly known as Health Policy and Education)
2932,0167-4544,3517,Journal of Business Ethics
2931,0012-1606,1742,Developmental Biology
2927,0034-4877,5956,Reports on Mathematical Physics
2917,1470-2045,4537,"Lancet Oncology, The"
2910,0002-9610,325,"American Journal of Surgery, The"
2885,0167-2738,6335,Solid State Ionics
2883,0142-1123,3068,International Journal of Fatigue
2881,0966-6362,2450,Gait & Posture
2880,0028-3932,5142,Neuropsychologia
2875,0264-0414,4338,Journal of Sports Sciences
2874,0254-0584,4765,Materials Chemistry and Physics (formerly known as Materials Chemistry)
2869,0001-8791,4473,Journal of Vocational Behavior
2862,1467-8624,1190,Child Development
2861,0094-2405,4846,Medical Physics (AAPM)
2853,1078-5884,2213,European Journal of Vascular and Endovascular Surgery (formerly known as European Journal of Vascular Surgery)
2852,1383-5866,6203,Separation and Purification Technology (incorporating Gas Separation & Purification and Separations Technology)
2848,0045-7930,1471,Computers & Fluids
2842,1365-2672,3446,Journal of Applied Microbiology
2837,0022-247X,3994,Journal of Mathematical Analysis and Applications
2834,1097-0266,6407,Strategic Management Journal
2823,1569-8041,428,Annals of Oncology
2817,0022-3468,4143,Journal of Pediatric Surgery
2811,0039-6060,6472,Surgery
2811,1527-3350,11036,Hepatology
2805,0924-7963,3979,Journal of Marine Systems
2804,0026-0495,4872,Metabolism
2803,1469-0292,5790,Psychology of Sport and Exercise
2803,0951-8320,5943,Reliability Engineering & System Safety (formerly known as Reliability Engineering)
2798,0167-8655,5442,Pattern Recognition Letters
2797,0034-6667,6026,Review of Palaeobotany and Palynology
2796,0005-7967,770,Behaviour Research and Therapy
2794,0959-4752,4585,Learning and Instruction
2775,0049-6979,6825,"Water, Air, & Soil Pollution"
2755,0165-1781,5776,Psychiatry Research
2755,1547-5905,7479,AIChE Journal
2745,1365-246X,2511,Geophysical Journal International
2740,1460-2091,3433,Journal of Antimicrobial Chemotherapy
2733,0169-2607,1454,Computer Methods and Programs in Biomedicine (formerly known as Computer Programs in Biomedicine)
2732,0003-4932,438,Annals of Surgery
2707,0305-750X,6885,World Development
2704,0167-7799,6685,Trends in Biotechnology
2701,1089-7798,10013,IEEE Communications Letters
2696,1460-2350,2748,Human Reproduction
2692,0378-3812,2371,Fluid Phase Equilibria
2690,1520-4898,20,Accounts of Chemical Research
2687,0091-7435,5704,Preventive Medicine
2684,1460-2156,917,Brain
2679,0169-2070,3074,International Journal of Forecasting
2667,0272-6963,4106,Journal of Operations Management
2666,1365-2591,2965,International Endodontic Journal
2664,0022-328X,4117,Journal of Organometallic Chemistry
2660,1357-2725,3008,"International Journal of Biochemistry & Cell Biology, The (formerly known as International Journal of Biochemistry)"
2658,1053-587X,10126,IEEE Transactions on Signal Processing
2656,0303-7207,4970,Molecular and Cellular Endocrinology
2653,0169-1317,505,Applied Clay Science
2647,1055-7903,4996,Molecular Phylogenetics and Evolution
2642,0162-8828,10115,IEEE Transactions on Pattern Analysis and Machine Intelligence
2640,1520-6017,4155,Journal of Pharmaceutical Sciences
2630,0010-4485,1465,Computer-Aided Design
2627,0165-4101,3387,Journal of Accounting and Economics
2627,0733-8716,10039,IEEE Journal on Selected Areas in Communications
2625,1010-6030,4162,Journal of Photochemistry and Photobiology A: Chemistry (formerly part of Journal of Photochemistry)
2621,0893-9659,525,Applied Mathematics Letters
2603,0141-0229,2072,Enzyme and Microbial Technology
2602,0002-9394,310,American Journal of Ophthalmology
2597,0014-4827,2267,Experimental Cell Research
2594,1750-9467,20099,Research in Autism Spectrum Disorders
2587,0265-931X,3746,Journal of Environmental Radioactivity
2581,1099-0682,2156,European Journal of Inorganic Chemistry
2576,0969-6997,3412,Journal of Air Transport Management
2574,0041-1345,6669,Transplantation Proceedings
2572,0889-1575,3799,Journal of Food Composition and Analysis
2567,1097-2765,2800,Molecular Cell
2567,0028-3878,5130,Neurology
2558,1742-7061,9127,Acta Biomaterialia
2542,0038-0717,6323,Soil Biology and Biochemistry
2537,0166-445X,560,Aquatic Toxicology
2527,0261-2194,1596,Crop Protection
2523,0005-1098,744,Automatica
2520,0272-8842,1127,Ceramics International (formerly known as Ceramurgia International)
2519,0032-5910,5689,Powder Technology
2517,0378-5122,4802,Maturitas
2516,0899-9007,5281,Nutrition
2515,0168-9452,5615,Plant Science (formerly known as Plant Science Letters)
2514,0147-5185,326,"American Journal of Surgical Pathology, The"
